category_code,category_name,service_code,service_name,service_description
TC,Type of Care,SA,Substance use treatment,"Refers to a range of services, including problem identification and diagnosis, brief interventions, assessment of substance use and related problems, treatment planning, counseling, medical services, psychiatric services, psychological services, social services, and follow-up for persons with alcohol or other drug problems (Institute of Medicine, 1990)."
TC,Type of Care,MH,Mental health treatment    ,"Facility which provides services including therapy or psychotropic medication to treat a person’s mental health issue, reduce symptoms, and improve behavioral functioning and outcomes.
"
TC,Type of Care,SUMH,Treatment for co-occurring substance use plus either serious mental illness (SMI) in adults and/or serious emotional disturbance (SED) in children,"Refers to treatment services intended to help their clients’ ability to function as a result of substance use and/or mental disorders. By definition, serious mental illness is someone over 18 having (within the past year) a diagnosable mental, behavior, or emotional disorder that causes serious functional impairment that substantially interferes with or limits one or more major life activities. For people under the age of 18, the term ‟Serious Emotional Disturbance” refers to a diagnosable mental, behavioral, or emotional disorder in the past year, which resulted in functional impairment that substantially interferes with or limits the child’s role or functioning in family, school, or community activities."
SET,Service Setting,HI,Hospital inpatient/24-hour hospital inpatient,Medical treatment that is provided in a hospital or other facility and requires at least one overnight stay. 
SET,Service Setting,OP,Outpatient ,Describes patients who receive treatment services without an overnight stay at a treatment facility or hospital.
SET,Service Setting,PHP,Partial hospitalization/day treatment ,"Facility offers outpatient treatment services that may include group counseling, individual therapy, and access to medical care. These services are ideal for people who do not require 24-hour supervision, but who would still benefit from a high level of support."
SET,Service Setting,RES,Residential/24-hour residential,
FT,Facility Type,CMHC,Community mental health center,"Facility that (1) provides outpatient services, including specialized services for children, the elderly, individuals who are chronically mentally ill, and residents of its mental health service area who have been discharged from inpatient treatment at a mental health facility; (2) provides 24-hour emergency care services; (3) provides day treatment, other partial hospitalization services, or psychosocial rehabilitation services; (4) provides screening for patients being considered for admission to state mental health facilities to determine the appropriateness of the admission; and (5) meets applicable licensing or certification requirements for Community Mental Health Centers (CMHCs) in the state in which it is located. (https://www.cms.gov/)"
FT,Facility Type,MSMH,"Multi-setting mental health facility (e.g., non-hospital residential plus either outpatient and/or partial hospitalization/day treatment)","Facility that provides mental health services in two service settings (residential and outpatient setting) and is not classified as a psychiatric hospital, general hospital, medical center, CMHC, or as a residential treatment center."
FT,Facility Type,OMH,Outpatient mental health facility,"Facility that primarily provides clients/patients who are able to receive less than 24-hour outpatient mental health services for generally less than 3 hours at a single visit. Services are provided on an individual, group, or family basis and usually in a clinic or similar facility. A psychiatrist generally assumes the medical responsibility for all clients/patients or direction of the mental health treatment."
FT,Facility Type,ORES,Other residential treatment facility  ,Facility is not licensed as a psychiatric hospital. The primary purpose of this facility is to provide individually planned programs of mental health treatment services in a residential care setting and is not specifically for children only or adults only.
FT,Facility Type,PH,Partial hospitalization/day treatment,"A medically-supervised facility that offers comprehensive, coordinated, and structured clinical services in a time-limited series of structured, face-to-face therapeutic sessions organized at various levels of intensity/frequency. Services are provided for diagnostic evaluation, active treatment of a condition, or to prevent relapse, hospitalization, or incarceration. The PH facility may be freestanding or part of a broader system that is distinct or a separately-organized unit that is neither residential nor inpatient. PH is an alternative to inpatient care; is transitional care following an inpatient stay in lieu of continued hospitalization; and is a step-down from inpatient care. PH is less than 24-hour care available at least 5 days per week and may be offered on a half-day, weekend, or evening hours basis."
FT,Facility Type,PSY,Psychiatric hospital ,"Facility is a licensed general hospital (public or private) that provides inpatient mental health services in at least one separate psychiatric living unit. This unit must have specifically allocated staff and space (beds) for treating people with mental illness. The unit may be located in the hospital itself or in a separate building, either adjacent or more remote, and is owned by the hospital."
FT,Facility Type,RTCA,Residential treatment center (RTC) for adults ,Facility is not licensed as a psychiatric hospital. The primary purpose of this facility is to provide adults with individually planned programs of mental health treatment services in a 24-hour care setting away from the stress of their home environment.
FT,Facility Type,RTCC,Residential treatment center (RTC) for children ,"Facility is not licensed as a psychiatric hospital. The primary purpose of this facility is to provide children and youth younger than 18 with individually planned programs of mental health treatment services in a 24-hour care setting away from the stress of their home environment. Some RTCs for children may accept persons through age 21. This type of facility must have a clinical program that is directed by a psychiatrist, psychologist, social worker, or psychiatric nurse who has a master's or a doctoral degree."
FT,Facility Type,IPSY,Separate inpatient psychiatric unit of a general hospital,
FT,Facility Type,SHP,State hospital,
FT,Facility Type,VAHC,Veterans Affairs Medical Center or other VA healthcare facility,
PHR,Pharmacotherapies,CHLOR,Chlorpromazine,
PHR,Pharmacotherapies,DROPE,Droperidol ,
PHR,Pharmacotherapies,FLUPH,Fluphenazine ,
PHR,Pharmacotherapies,HALOP,Haloperidol ,
PHR,Pharmacotherapies,LOXAP,Loxapine ,
PHR,Pharmacotherapies,PERPH,Perphenazine ,
PHR,Pharmacotherapies,PIMOZ,Pimozide ,
PHR,Pharmacotherapies,PROCH,Prochlorperazine ,
PHR,Pharmacotherapies,THIOT,Thiothixene,
PHR,Pharmacotherapies,THIOR,Thioridazine,
PHR,Pharmacotherapies,TRIFL,Trifluoperazine ,
PHR,Pharmacotherapies,ARIPI,Aripiprazole ,
PHR,Pharmacotherapies,ASENA,Asenapine ,
PHR,Pharmacotherapies,BREXP,Brexpiprazole ,
PHR,Pharmacotherapies,CARIP,Cariprazine ,
PHR,Pharmacotherapies,CLOZA,Clozapine ,
PHR,Pharmacotherapies,ILOPE,IIoperidone ,
PHR,Pharmacotherapies,LURAS,Lurasidone ,
PHR,Pharmacotherapies,OLANZ,Olanzapine ,
